Partno,Judgement1,Word Pair,Judged Value,Recall,COS,LSA ,FSG
6,associative,Sign_Stop,30,1,0.315007918,0.328892,0.348
7,associative,Sign_Stop,90,0,0.315007918,0.328892,0.348
8,associative,Sign_Stop,70,1,0.315007918,0.328892,0.348
9,associative,Sign_Stop,54,0,0.315007918,0.328892,0.348
10,associative,Sign_Stop,15,0,0.315007918,0.328892,0.348
11,associative,Sign_Stop,50,1,0.315007918,0.328892,0.348
12,associative,Sign_Stop,75,0,0.315007918,0.328892,0.348
13,associative,Sign_Stop,100,0,0.315007918,0.328892,0.348
14,associative,Sign_Stop,10,0,0.315007918,0.328892,0.348
15,associative,Sign_Stop,80,1,0.315007918,0.328892,0.348
16,associative,Sign_Stop,80,0,0.315007918,0.328892,0.348
17,associative,Sign_Stop,80,1,0.315007918,0.328892,0.348
18,associative,Sign_Stop,50,0,0.315007918,0.328892,0.348
19,associative,Sign_Stop,65,1,0.315007918,0.328892,0.348
20,associative,Sign_Stop,90,0,0.315007918,0.328892,0.348
21,associative,Sign_Stop,NA,NA,0.315007918,0.328892,0.348
22,associative,Sign_Stop,45,1,0.315007918,0.328892,0.348
23,associative,Sign_Stop,10,1,0.315007918,0.328892,0.348
24,associative,Sign_Stop,15,1,0.315007918,0.328892,0.348
25,associative,Sign_Stop,60,1,0.315007918,0.328892,0.348
26,associative,Sign_Stop,30,1,0.315007918,0.328892,0.348
27,associative,Sign_Stop,NA,NA,0.315007918,0.328892,0.348
28,associative,Sign_Stop,30,1,0.315007918,0.328892,0.348
29,associative,Sign_Stop,70,1,0.315007918,0.328892,0.348
30,associative,Sign_Stop,90,0,0.315007918,0.328892,0.348
31,associative,Sign_Stop,90,1,0.315007918,0.328892,0.348
32,associative,Sign_Stop,70,1,0.315007918,0.328892,0.348
33,associative,Sign_Stop,88,1,0.315007918,0.328892,0.348
34,associative,Sign_Stop,90,0,0.315007918,0.328892,0.348
35,associative,Sign_Stop,NA,1,0.315007918,0.328892,0.348
36,associative,Sign_Stop,85,1,0.315007918,0.328892,0.348
37,associative,Sign_Stop,60,0,0.315007918,0.328892,0.348
38,associative,Sign_Stop,60,0,0.315007918,0.328892,0.348
39,associative,Sign_Stop,50,1,0.315007918,0.328892,0.348
40,associative,Sign_Stop,45,0,0.315007918,0.328892,0.348
41,associative,Sign_Stop,70,1,0.315007918,0.328892,0.348
42,associative,Sign_Stop,90,0,0.315007918,0.328892,0.348
43,associative,Sign_Stop,90,1,0.315007918,0.328892,0.348
44,associative,Sign_Stop,NA,0,0.315007918,0.328892,0.348
45,associative,Sign_Stop,75,1,0.315007918,0.328892,0.348
1,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
2,associative,Habit_Coke,NA,NA,0.0631932,0.087969,0.014
3,associative,Habit_Coke,NA,NA,0.0631932,0.087969,0.014
4,associative,Habit_Coke,15,0,0.0631932,0.087969,0.014
5,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
6,associative,Habit_Coke,2,0,0.0631932,0.087969,0.014
7,associative,Habit_Coke,10,1,0.0631932,0.087969,0.014
8,associative,Habit_Coke,12,1,0.0631932,0.087969,0.014
9,associative,Habit_Coke,2,1,0.0631932,0.087969,0.014
10,associative,Habit_Coke,5,0,0.0631932,0.087969,0.014
11,associative,Habit_Coke,20,1,0.0631932,0.087969,0.014
12,associative,Habit_Coke,30,0,0.0631932,0.087969,0.014
13,associative,Habit_Coke,50,0,0.0631932,0.087969,0.014
14,associative,Habit_Coke,22,0,0.0631932,0.087969,0.014
15,associative,Habit_Coke,2,0,0.0631932,0.087969,0.014
16,associative,Habit_Coke,10,1,0.0631932,0.087969,0.014
17,associative,Habit_Coke,50,1,0.0631932,0.087969,0.014
18,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
19,associative,Habit_Coke,35,1,0.0631932,0.087969,0.014
20,associative,Habit_Coke,40,0,0.0631932,0.087969,0.014
21,associative,Habit_Coke,NA,NA,0.0631932,0.087969,0.014
22,associative,Habit_Coke,2,1,0.0631932,0.087969,0.014
23,associative,Habit_Coke,3,1,0.0631932,0.087969,0.014
24,associative,Habit_Coke,1,0,0.0631932,0.087969,0.014
25,associative,Habit_Coke,50,1,0.0631932,0.087969,0.014
26,associative,Habit_Coke,2,0,0.0631932,0.087969,0.014
27,associative,Habit_Coke,NA,NA,0.0631932,0.087969,0.014
28,associative,Habit_Coke,1,0,0.0631932,0.087969,0.014
29,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
30,associative,Habit_Coke,30,NA,0.0631932,0.087969,0.014
31,associative,Habit_Coke,45,1,0.0631932,0.087969,0.014
32,associative,Habit_Coke,12,0,0.0631932,0.087969,0.014
33,associative,Habit_Coke,3,0,0.0631932,0.087969,0.014
34,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
35,associative,Habit_Coke,NA,1,0.0631932,0.087969,0.014
36,associative,Habit_Coke,25,1,0.0631932,0.087969,0.014
37,associative,Habit_Coke,40,NA,0.0631932,0.087969,0.014
38,associative,Habit_Coke,10,0,0.0631932,0.087969,0.014
39,associative,Habit_Coke,15,0,0.0631932,0.087969,0.014
40,associative,Habit_Coke,20,0,0.0631932,0.087969,0.014
41,associative,Habit_Coke,12,1,0.0631932,0.087969,0.014
42,associative,Habit_Coke,20,1,0.0631932,0.087969,0.014
43,associative,Habit_Coke,80,1,0.0631932,0.087969,0.014
44,associative,Habit_Coke,NA,0,0.0631932,0.087969,0.014
45,associative,Habit_Coke,10,1,0.0631932,0.087969,0.014
1,associative,Carry_Lift,10,NA,0.364468429,0.214195,0.062
2,associative,Carry_Lift,NA,NA,0.364468429,0.214195,0.062
3,associative,Carry_Lift,NA,NA,0.364468429,0.214195,0.062
4,associative,Carry_Lift,79,0,0.364468429,0.214195,0.062
5,associative,Carry_Lift,60,0,0.364468429,0.214195,0.062
6,associative,Carry_Lift,50,0,0.364468429,0.214195,0.062
7,associative,Carry_Lift,40,0,0.364468429,0.214195,0.062
8,associative,Carry_Lift,20,1,0.364468429,0.214195,0.062
9,associative,Carry_Lift,45,0,0.364468429,0.214195,0.062
10,associative,Carry_Lift,25,1,0.364468429,0.214195,0.062
11,associative,Carry_Lift,55,1,0.364468429,0.214195,0.062
12,associative,Carry_Lift,30,0,0.364468429,0.214195,0.062
13,associative,Carry_Lift,100,0,0.364468429,0.214195,0.062
14,associative,Carry_Lift,30,0,0.364468429,0.214195,0.062
15,associative,Carry_Lift,25,0,0.364468429,0.214195,0.062
16,associative,Carry_Lift,40,1,0.364468429,0.214195,0.062
17,associative,Carry_Lift,85,0,0.364468429,0.214195,0.062
18,associative,Carry_Lift,50,0,0.364468429,0.214195,0.062
19,associative,Carry_Lift,50,0,0.364468429,0.214195,0.062
20,associative,Carry_Lift,60,0,0.364468429,0.214195,0.062
21,associative,Carry_Lift,NA,NA,0.364468429,0.214195,0.062
22,associative,Carry_Lift,80,1,0.364468429,0.214195,0.062
23,associative,Carry_Lift,60,0,0.364468429,0.214195,0.062
24,associative,Carry_Lift,50,1,0.364468429,0.214195,0.062
25,associative,Carry_Lift,90,0,0.364468429,0.214195,0.062
26,associative,Carry_Lift,20,1,0.364468429,0.214195,0.062
27,associative,Carry_Lift,NA,NA,0.364468429,0.214195,0.062
28,associative,Carry_Lift,40,1,0.364468429,0.214195,0.062
29,associative,Carry_Lift,55,1,0.364468429,0.214195,0.062
30,associative,Carry_Lift,80,NA,0.364468429,0.214195,0.062
31,associative,Carry_Lift,60,1,0.364468429,0.214195,0.062
32,associative,Carry_Lift,24,1,0.364468429,0.214195,0.062
33,associative,Carry_Lift,55,1,0.364468429,0.214195,0.062
34,associative,Carry_Lift,40,0,0.364468429,0.214195,0.062
35,associative,Carry_Lift,NA,1,0.364468429,0.214195,0.062
36,associative,Carry_Lift,75,0,0.364468429,0.214195,0.062
37,associative,Carry_Lift,70,1,0.364468429,0.214195,0.062
38,associative,Carry_Lift,80,0,0.364468429,0.214195,0.062
39,associative,Carry_Lift,60,0,0.364468429,0.214195,0.062
40,associative,Carry_Lift,50,0,0.364468429,0.214195,0.062
41,associative,Carry_Lift,70,0,0.364468429,0.214195,0.062
42,associative,Carry_Lift,80,1,0.364468429,0.214195,0.062
43,associative,Carry_Lift,100,1,0.364468429,0.214195,0.062
44,associative,Carry_Lift,NA,0,0.364468429,0.214195,0.062
45,associative,Carry_Lift,80,1,0.364468429,0.214195,0.062
1,associative,Goose_Chicken,10,0,0.609592919,0.356565,0.018
2,associative,Goose_Chicken,NA,NA,0.609592919,0.356565,0.018
3,associative,Goose_Chicken,NA,NA,0.609592919,0.356565,0.018
4,associative,Goose_Chicken,55,0,0.609592919,0.356565,0.018
5,associative,Goose_Chicken,40,0,0.609592919,0.356565,0.018
6,associative,Goose_Chicken,2,0,0.609592919,0.356565,0.018
7,associative,Goose_Chicken,40,1,0.609592919,0.356565,0.018
8,associative,Goose_Chicken,60,1,0.609592919,0.356565,0.018
9,associative,Goose_Chicken,23,0,0.609592919,0.356565,0.018
10,associative,Goose_Chicken,20,0,0.609592919,0.356565,0.018
11,associative,Goose_Chicken,30,1,0.609592919,0.356565,0.018
12,associative,Goose_Chicken,30,0,0.609592919,0.356565,0.018
13,associative,Goose_Chicken,25,0,0.609592919,0.356565,0.018
14,associative,Goose_Chicken,60,1,0.609592919,0.356565,0.018
15,associative,Goose_Chicken,25,0,0.609592919,0.356565,0.018
16,associative,Goose_Chicken,30,1,0.609592919,0.356565,0.018
17,associative,Goose_Chicken,75,0,0.609592919,0.356565,0.018
18,associative,Goose_Chicken,20,0,0.609592919,0.356565,0.018
19,associative,Goose_Chicken,45,0,0.609592919,0.356565,0.018
20,associative,Goose_Chicken,70,0,0.609592919,0.356565,0.018
21,associative,Goose_Chicken,NA,NA,0.609592919,0.356565,0.018
22,associative,Goose_Chicken,7,1,0.609592919,0.356565,0.018
23,associative,Goose_Chicken,2,1,0.609592919,0.356565,0.018
24,associative,Goose_Chicken,10,1,0.609592919,0.356565,0.018
25,associative,Goose_Chicken,40,1,0.609592919,0.356565,0.018
26,associative,Goose_Chicken,4,0,0.609592919,0.356565,0.018
27,associative,Goose_Chicken,NA,NA,0.609592919,0.356565,0.018
28,associative,Goose_Chicken,30,1,0.609592919,0.356565,0.018
29,associative,Goose_Chicken,5,1,0.609592919,0.356565,0.018
30,associative,Goose_Chicken,90,1,0.609592919,0.356565,0.018
31,associative,Goose_Chicken,15,1,0.609592919,0.356565,0.018
32,associative,Goose_Chicken,22,0,0.609592919,0.356565,0.018
33,associative,Goose_Chicken,40,0,0.609592919,0.356565,0.018
34,associative,Goose_Chicken,30,1,0.609592919,0.356565,0.018
35,associative,Goose_Chicken,NA,1,0.609592919,0.356565,0.018
36,associative,Goose_Chicken,30,1,0.609592919,0.356565,0.018
37,associative,Goose_Chicken,60,1,0.609592919,0.356565,0.018
38,associative,Goose_Chicken,20,1,0.609592919,0.356565,0.018
39,associative,Goose_Chicken,15,0,0.609592919,0.356565,0.018
40,associative,Goose_Chicken,50,1,0.609592919,0.356565,0.018
41,associative,Goose_Chicken,75,0,0.609592919,0.356565,0.018
42,associative,Goose_Chicken,50,1,0.609592919,0.356565,0.018
43,associative,Goose_Chicken,0,1,0.609592919,0.356565,0.018
44,associative,Goose_Chicken,NA,0,0.609592919,0.356565,0.018
45,associative,Goose_Chicken,80,0,0.609592919,0.356565,0.018
1,associative,String_Thread,10,NA,0.456293158,0.169274,0.071
2,associative,String_Thread,NA,NA,0.456293158,0.169274,0.071
3,associative,String_Thread,10,NA,0.456293158,0.169274,0.071
4,associative,String_Thread,80,0,0.456293158,0.169274,0.071
5,associative,String_Thread,99,0,0.456293158,0.169274,0.071
6,associative,String_Thread,20,0,0.456293158,0.169274,0.071
7,associative,String_Thread,40,1,0.456293158,0.169274,0.071
8,associative,String_Thread,35,1,0.456293158,0.169274,0.071
9,associative,String_Thread,34,0,0.456293158,0.169274,0.071
10,associative,String_Thread,35,1,0.456293158,0.169274,0.071
11,associative,String_Thread,90,0,0.456293158,0.169274,0.071
12,associative,String_Thread,50,1,0.456293158,0.169274,0.071
13,associative,String_Thread,100,0,0.456293158,0.169274,0.071
14,associative,String_Thread,22,0,0.456293158,0.169274,0.071
15,associative,String_Thread,10,0,0.456293158,0.169274,0.071
16,associative,String_Thread,40,1,0.456293158,0.169274,0.071
17,associative,String_Thread,95,1,0.456293158,0.169274,0.071
18,associative,String_Thread,40,0,0.456293158,0.169274,0.071
19,associative,String_Thread,65,0,0.456293158,0.169274,0.071
20,associative,String_Thread,90,1,0.456293158,0.169274,0.071
21,associative,String_Thread,NA,NA,0.456293158,0.169274,0.071
22,associative,String_Thread,60,1,0.456293158,0.169274,0.071
23,associative,String_Thread,5,0,0.456293158,0.169274,0.071
24,associative,String_Thread,50,1,0.456293158,0.169274,0.071
25,associative,String_Thread,70,1,0.456293158,0.169274,0.071
26,associative,String_Thread,15,1,0.456293158,0.169274,0.071
27,associative,String_Thread,NA,NA,0.456293158,0.169274,0.071
28,associative,String_Thread,40,1,0.456293158,0.169274,0.071
29,associative,String_Thread,90,0,0.456293158,0.169274,0.071
30,associative,String_Thread,70,1,0.456293158,0.169274,0.071
31,associative,String_Thread,50,1,0.456293158,0.169274,0.071
32,associative,String_Thread,48,0,0.456293158,0.169274,0.071
33,associative,String_Thread,55,1,0.456293158,0.169274,0.071
34,associative,String_Thread,50,0,0.456293158,0.169274,0.071
35,associative,String_Thread,NA,0,0.456293158,0.169274,0.071
