Partno,Judgment,Word Pair,Judged Value,Recall
202,Semantic,Find...keep,90,1
203,Semantic,Find...keep,25,0
204,Semantic,Find...keep,40,0
205,Semantic,Find...keep,50,1
206,Semantic,Find...keep,30,NA
207,Semantic,Find...keep,71,0
208,Semantic,Find...keep,60,1
209,Semantic,Find...keep,NA,0
210,Semantic,Find...keep,100,1
211,Semantic,Find...keep,80,0
212,Semantic,Find...keep,0,0
213,Semantic,Find...keep,87,1
214,Semantic,Find...keep,100,1
215,Semantic,Find...keep,80,1
216,Semantic,Find...keep,100,1
217,Semantic,Find...keep,70,1
218,Semantic,Find...keep,50,1
219,Semantic,Find...keep,60,0
220,Semantic,Find...keep,50,0
221,Semantic,Find...keep,60,1
1,Associative,Jail...Crime,60,0
2,Associative,Jail...Crime,100,0
3,Associative,Jail...Crime,50,0
4,Associative,Jail...Crime,90,1
5,Associative,Jail...Crime,NA,0
6,Associative,Jail...Crime,30,0
7,Associative,Jail...Crime,33,0
8,Associative,Jail...Crime,30,1
9,Associative,Jail...Crime,15,0
10,Associative,Jail...Crime,85,NA
11,Associative,Jail...Crime,100,1
12,Associative,Jail...Crime,70,0
13,Associative,Jail...Crime,20,0
14,Associative,Jail...Crime,17,0
15,Associative,Jail...Crime,55,1
16,Associative,Jail...Crime,95,1
17,Associative,Jail...Crime,30,NA
18,Associative,Jail...Crime,45,1
19,Associative,Jail...Crime,50,1
20,Associative,Jail...Crime,45,0
21,Associative,Jail...Crime,30,NA
22,Associative,Jail...Crime,90,1
23,Associative,Jail...Crime,70,1
24,Associative,Jail...Crime,60,1
25,Associative,Jail...Crime,32,1
26,Associative,Jail...Crime,20,0
27,Associative,Jail...Crime,50,1
28,Associative,Jail...Crime,40,1
29,Associative,Jail...Crime,45,1
30,Associative,Jail...Crime,75,0
31,Associative,Jail...Crime,NA,0
32,Associative,Jail...Crime,80,1
33,Associative,Jail...Crime,50,1
34,Associative,Jail...Crime,100,0
35,Associative,Jail...Crime,90,1
36,Associative,Jail...Crime,60,0
37,Associative,Jail...Crime,98,1
38,Associative,Jail...Crime,75,0
39,Associative,Jail...Crime,10,0
40,Associative,Jail...Crime,75,0
41,Associative,Jail...Crime,88,1
42,Associative,Jail...Crime,75,0
43,Associative,Jail...Crime,78,0
44,Associative,Jail...Crime,90,1
45,Associative,Jail...Crime,30,0
46,Associative,Jail...Crime,80,1
47,Associative,Jail...Crime,35,0
48,Associative,Jail...Crime,95,1
49,Associative,Jail...Crime,60,1
50,Associative,Jail...Crime,50,1
51,Associative,Jail...Crime,80,1
52,Associative,Jail...Crime,70,1
53,Associative,Jail...Crime,80,0
54,Associative,Jail...Crime,55,0
55,Associative,Jail...Crime,50,1
56,Associative,Jail...Crime,80,0
57,Associative,Jail...Crime,90,0
58,Associative,Jail...Crime,58,1
59,Associative,Jail...Crime,40,0
60,Associative,Jail...Crime,80,0
61,Associative,Jail...Crime,54,1
62,Associative,Jail...Crime,95,1
63,Associative,Jail...Crime,70,0
64,Associative,Jail...Crime,30,0
65,Associative,Jail...Crime,50,1
66,Associative,Jail...Crime,70,0
67,Associative,Jail...Crime,50,0
68,Associative,Jail...Crime,60,0
69,Associative,Jail...Crime,45,0
70,Associative,Jail...Crime,85,0
71,Associative,Jail...Crime,90,0
72,Associative,Jail...Crime,95,0
73,Associative,Jail...Crime,30,1
74,Associative,Jail...Crime,100,0
75,Associative,Jail...Crime,90,NA
76,Associative,Jail...Crime,50,0
77,Associative,Jail...Crime,80,0
78,Associative,Jail...Crime,5,0
79,Thematic,Jail...Crime,25,0
80,Thematic,Jail...Crime,75,1
81,Thematic,Jail...Crime,35,0
82,Thematic,Jail...Crime,65,0
83,Thematic,Jail...Crime,78,1
84,Thematic,Jail...Crime,56,NA
85,Thematic,Jail...Crime,60,0
86,Thematic,Jail...Crime,NA,0
87,Thematic,Jail...Crime,100,0
88,Thematic,Jail...Crime,95,0
89,Thematic,Jail...Crime,50,1
90,Thematic,Jail...Crime,NA,NA
91,Thematic,Jail...Crime,85,0
92,Thematic,Jail...Crime,100,0
93,Thematic,Jail...Crime,66,1
94,Thematic,Jail...Crime,100,1
95,Thematic,Jail...Crime,20,1
96,Thematic,Jail...Crime,75,1
97,Thematic,Jail...Crime,90,1
98,Thematic,Jail...Crime,75,NA
99,Thematic,Jail...Crime,NA,0
100,Thematic,Jail...Crime,80,1
101,Thematic,Jail...Crime,100,1
102,Thematic,Jail...Crime,90,1
103,Thematic,Jail...Crime,50,0
104,Thematic,Jail...Crime,95,1
105,Thematic,Jail...Crime,20,1
106,Thematic,Jail...Crime,86,0
107,Thematic,Jail...Crime,40,1
108,Thematic,Jail...Crime,50,0
109,Thematic,Jail...Crime,50,0
110,Thematic,Jail...Crime,95,1
111,Thematic,Jail...Crime,100,1
112,Thematic,Jail...Crime,90,0
113,Thematic,Jail...Crime,98,1
114,Thematic,Jail...Crime,NA,NA
115,Thematic,Jail...Crime,60,1
116,Thematic,Jail...Crime,85,0
117,Thematic,Jail...Crime,90,1
118,Thematic,Jail...Crime,90,1
119,Thematic,Jail...Crime,NA,1
120,Thematic,Jail...Crime,10,0
121,Thematic,Jail...Crime,70,1
122,Thematic,Jail...Crime,75,1
123,Thematic,Jail...Crime,50,1
124,Thematic,Jail...Crime,90,1
125,Thematic,Jail...Crime,90,0
126,Thematic,Jail...Crime,70,0
127,Thematic,Jail...Crime,90,1
128,Thematic,Jail...Crime,100,0
129,Thematic,Jail...Crime,100,0
130,Thematic,Jail...Crime,90,1
131,Thematic,Jail...Crime,100,1
132,Thematic,Jail...Crime,85,1
133,Thematic,Jail...Crime,95,NA
314,Thematic,Jail...Crime,87,1
135,Thematic,Jail...Crime,95,1
136,Thematic,Jail...Crime,70,1
137,Thematic,Jail...Crime,100,1
138,Thematic,Jail...Crime,100,1
139,Thematic,Jail...Crime,43,NA
140,Thematic,Jail...Crime,80,NA
141,Thematic,Jail...Crime,75,0
142,Thematic,Jail...Crime,70,0
143,Thematic,Jail...Crime,100,0
144,Thematic,Jail...Crime,NA,0
145,Thematic,Jail...Crime,95,1
146,Thematic,Jail...Crime,80,1
147,Semantic,Jail...Crime,67,0
148,Semantic,Jail...Crime,50,1
149,Semantic,Jail...Crime,100,0
150,Semantic,Jail...Crime,65,0
151,Semantic,Jail...Crime,45,NA
152,Semantic,Jail...Crime,45,NA
153,Semantic,Jail...Crime,80,0
154,Semantic,Jail...Crime,80,0
155,Semantic,Jail...Crime,NA,1
156,Semantic,Jail...Crime,90,1
157,Semantic,Jail...Crime,90,0
158,Semantic,Jail...Crime,85,0
159,Semantic,Jail...Crime,25,0
160,Semantic,Jail...Crime,100,0
161,Semantic,Jail...Crime,33,1
162,Semantic,Jail...Crime,95,1
163,Semantic,Jail...Crime,70,NA
164,Semantic,Jail...Crime,75,1
165,Semantic,Jail...Crime,60,0
166,Semantic,Jail...Crime,90,1
167,Semantic,Jail...Crime,100,1
168,Semantic,Jail...Crime,19,0
169,Semantic,Jail...Crime,100,0
170,Semantic,Jail...Crime,95,1
171,Semantic,Jail...Crime,30,1
172,Semantic,Jail...Crime,100,1
173,Semantic,Jail...Crime,85,0
174,Semantic,Jail...Crime,40,1
175,Semantic,Jail...Crime,60,1
176,Semantic,Jail...Crime,100,1
177,Semantic,Jail...Crime,100,0
178,Semantic,Jail...Crime,100,1
179,Semantic,Jail...Crime,100,1
180,Semantic,Jail...Crime,100,0
181,Semantic,Jail...Crime,60,1
182,Semantic,Jail...Crime,90,0
183,Semantic,Jail...Crime,100,0
184,Semantic,Jail...Crime,100,0
185,Semantic,Jail...Crime,60,0
186,Semantic,Jail...Crime,90,1
187,Semantic,Jail...Crime,25,0
188,Semantic,Jail...Crime,80,1
189,Semantic,Jail...Crime,97,1
190,Semantic,Jail...Crime,90,NA
191,Semantic,Jail...Crime,90,0
192,Semantic,Jail...Crime,95,0
193,Semantic,Jail...Crime,80,1
194,Semantic,Jail...Crime,100,1
195,Semantic,Jail...Crime,100,1
196,Semantic,Jail...Crime,100,1
197,Semantic,Jail...Crime,NA,0
198,Semantic,Jail...Crime,80,0
199,Semantic,Jail...Crime,60,0
200,Semantic,Jail...Crime,95,0
201,Semantic,Jail...Crime,95,1
202,Semantic,Jail...Crime,50,0
203,Semantic,Jail...Crime,100,0
204,Semantic,Jail...Crime,2,0
205,Semantic,Jail...Crime,100,0
206,Semantic,Jail...Crime,90,0
207,Semantic,Jail...Crime,80,0
208,Semantic,Jail...Crime,70,0
209,Semantic,Jail...Crime,65,0
210,Semantic,Jail...Crime,100,1
211,Semantic,Jail...Crime,85,1
212,Semantic,Jail...Crime,40,0
213,Semantic,Jail...Crime,38,0
214,Semantic,Jail...Crime,100,1
215,Semantic,Jail...Crime,95,1
216,Semantic,Jail...Crime,100,1
217,Semantic,Jail...Crime,95,0
218,Semantic,Jail...Crime,80,1
219,Semantic,Jail...Crime,60,0
220,Semantic,Jail...Crime,100,1
221,Semantic,Jail...Crime,60,0
1,Associative,Think...Thought,10,0
2,Associative,Think...Thought,90,0
3,Associative,Think...Thought,35,0
4,Associative,Think...Thought,70,0
5,Associative,Think...Thought,NA,NA
6,Associative,Think...Thought,35,0
7,Associative,Think...Thought,35,1
8,Associative,Think...Thought,40,1
9,Associative,Think...Thought,20,1
10,Associative,Think...Thought,55,NA
11,Associative,Think...Thought,100,1
12,Associative,Think...Thought,10,1
13,Associative,Think...Thought,10,0
14,Associative,Think...Thought,18,0
15,Associative,Think...Thought,35,0
16,Associative,Think...Thought,90,0
17,Associative,Think...Thought,20,NA
18,Associative,Think...Thought,50,1
19,Associative,Think...Thought,60,1
20,Associative,Think...Thought,80,1
21,Associative,Think...Thought,20,NA
22,Associative,Think...Thought,67,1
23,Associative,Think...Thought,65,1
24,Associative,Think...Thought,60,1
25,Associative,Think...Thought,78,1
26,Associative,Think...Thought,45,1
27,Associative,Think...Thought,50,1
28,Associative,Think...Thought,30,0
29,Associative,Think...Thought,45,1
30,Associative,Think...Thought,75,0
31,Associative,Think...Thought,NA,0
32,Associative,Think...Thought,80,1
33,Associative,Think...Thought,40,1
34,Associative,Think...Thought,75,1
35,Associative,Think...Thought,85,1
36,Associative,Think...Thought,70,0
37,Associative,Think...Thought,90,1
38,Associative,Think...Thought,100,0
39,Associative,Think...Thought,10,0
40,Associative,Think...Thought,10,0
41,Associative,Think...Thought,99,1
42,Associative,Think...Thought,30,0
43,Associative,Think...Thought,68,1
44,Associative,Think...Thought,10,1
45,Associative,Think...Thought,20,1
46,Associative,Think...Thought,80,1
47,Associative,Think...Thought,35,0
48,Associative,Think...Thought,100,0
49,Associative,Think...Thought,40,0
50,Associative,Think...Thought,60,0
51,Associative,Think...Thought,50,0
52,Associative,Think...Thought,80,1
53,Associative,Think...Thought,60,NA
54,Associative,Think...Thought,80,1
55,Associative,Think...Thought,40,1
56,Associative,Think...Thought,90,1
57,Associative,Think...Thought,60,1
58,Associative,Think...Thought,88,0
59,Associative,Think...Thought,70,1
60,Associative,Think...Thought,50,0
61,Associative,Think...Thought,25,1
62,Associative,Think...Thought,75,1
63,Associative,Think...Thought,90,1
64,Associative,Think...Thought,80,1
65,Associative,Think...Thought,40,1
66,Associative,Think...Thought,60,0
67,Associative,Think...Thought,40,1
68,Associative,Think...Thought,15,1
69,Associative,Think...Thought,43,0
70,Associative,Think...Thought,70,1
71,Associative,Think...Thought,80,1
72,Associative,Think...Thought,20,1
73,Associative,Think...Thought,10,1
74,Associative,Think...Thought,100,1
75,Associative,Think...Thought,95,1
76,Associative,Think...Thought,65,0
77,Associative,Think...Thought,50,0
78,Associative,Think...Thought,5,0
79,Thematic,Think...Thought,25,0
80,Thematic,Think...Thought,100,1
81,Thematic,Think...Thought,45,0
82,Thematic,Think...Thought,35,0
83,Thematic,Think...Thought,70,1
84,Thematic,Think...Thought,85,NA
85,Thematic,Think...Thought,90,0
86,Thematic,Think...Thought,NA,0
87,Thematic,Think...Thought,80,0
88,Thematic,Think...Thought,85,0
89,Thematic,Think...Thought,80,1
90,Thematic,Think...Thought,NA,NA
91,Thematic,Think...Thought,95,0
92,Thematic,Think...Thought,78,0
93,Thematic,Think...Thought,30,1
94,Thematic,Think...Thought,50,0
95,Thematic,Think...Thought,50,0
96,Thematic,Think...Thought,95,1
97,Thematic,Think...Thought,90,0
98,Thematic,Think...Thought,70,NA
99,Thematic,Think...Thought,NA,0
100,Thematic,Think...Thought,70,0
101,Thematic,Think...Thought,95,1
102,Thematic,Think...Thought,90,1
103,Thematic,Think...Thought,44,NA
104,Thematic,Think...Thought,76,1
105,Thematic,Think...Thought,80,1
106,Thematic,Think...Thought,70,1
107,Thematic,Think...Thought,55,0
108,Thematic,Think...Thought,15,1
109,Thematic,Think...Thought,85,1
110,Thematic,Think...Thought,90,0
111,Thematic,Think...Thought,100,0
112,Thematic,Think...Thought,90,1
113,Thematic,Think...Thought,85,0
114,Thematic,Think...Thought,NA,NA
115,Thematic,Think...Thought,80,1
116,Thematic,Think...Thought,90,0
117,Thematic,Think...Thought,90,1
118,Thematic,Think...Thought,50,0
119,Thematic,Think...Thought,NA,1
120,Thematic,Think...Thought,12,0
121,Thematic,Think...Thought,100,1
122,Thematic,Think...Thought,1100,0
123,Thematic,Think...Thought,90,1
124,Thematic,Think...Thought,100,1
125,Thematic,Think...Thought,80,0
126,Thematic,Think...Thought,90,0
127,Thematic,Think...Thought,98,1
128,Thematic,Think...Thought,100,1
129,Thematic,Think...Thought,0,1
130,Thematic,Think...Thought,40,1
131,Thematic,Think...Thought,100,1
132,Thematic,Think...Thought,96,1
133,Thematic,Think...Thought,98,NA
314,Thematic,Think...Thought,97,1
135,Thematic,Think...Thought,90,1
136,Thematic,Think...Thought,80,0
137,Thematic,Think...Thought,80,0
138,Thematic,Think...Thought,100,0
139,Thematic,Think...Thought,677,NA
140,Thematic,Think...Thought,90,NA
141,Thematic,Think...Thought,90,1
142,Thematic,Think...Thought,90,0
143,Thematic,Think...Thought,100,0
144,Thematic,Think...Thought,NA,1
145,Thematic,Think...Thought,95,1
146,Thematic,Think...Thought,90,1
147,Semantic,Think...Thought,35,0
148,Semantic,Think...Thought,90,1
149,Semantic,Think...Thought,100,0
150,Semantic,Think...Thought,70,1
151,Semantic,Think...Thought,56,NA
152,Semantic,Think...Thought,45,NA
153,Semantic,Think...Thought,20,0
154,Semantic,Think...Thought,35,0
155,Semantic,Think...Thought,NA,0
156,Semantic,Think...Thought,75,1
157,Semantic,Think...Thought,100,0
158,Semantic,Think...Thought,85,1
159,Semantic,Think...Thought,60,1
160,Semantic,Think...Thought,100,0
161,Semantic,Think...Thought,18,0
162,Semantic,Think...Thought,80,1
163,Semantic,Think...Thought,60,NA
164,Semantic,Think...Thought,75,0
165,Semantic,Think...Thought,50,1
166,Semantic,Think...Thought,100,0
167,Semantic,Think...Thought,100,1
168,Semantic,Think...Thought,59,0
169,Semantic,Think...Thought,100,1
170,Semantic,Think...Thought,90,1
171,Semantic,Think...Thought,45,1
172,Semantic,Think...Thought,100,0
173,Semantic,Think...Thought,90,1
174,Semantic,Think...Thought,70,1
175,Semantic,Think...Thought,90,1
176,Semantic,Think...Thought,100,0
177,Semantic,Think...Thought,100,1
178,Semantic,Think...Thought,100,1
179,Semantic,Think...Thought,100,1
180,Semantic,Think...Thought,100,1
181,Semantic,Think...Thought,95,1
182,Semantic,Think...Thought,100,0
183,Semantic,Think...Thought,100,1
184,Semantic,Think...Thought,50,0
185,Semantic,Think...Thought,30,0
186,Semantic,Think...Thought,95,1
187,Semantic,Think...Thought,100,1
188,Semantic,Think...Thought,80,1
189,Semantic,Think...Thought,90,1
190,Semantic,Think...Thought,NA,NA
191,Semantic,Think...Thought,70,0
192,Semantic,Think...Thought,80,0
193,Semantic,Think...Thought,99,1
194,Semantic,Think...Thought,100,0
195,Semantic,Think...Thought,90,1
196,Semantic,Think...Thought,100,0
197,Semantic,Think...Thought,NA,NA
198,Semantic,Think...Thought,70,1
199,Semantic,Think...Thought,100,1
200,Semantic,Think...Thought,90,0
201,Semantic,Think...Thought,50,1
202,Semantic,Think...Thought,100,1
203,Semantic,Think...Thought,100,0
204,Semantic,Think...Thought,89,0
205,Semantic,Think...Thought,100,1
206,Semantic,Think...Thought,40,NA
207,Semantic,Think...Thought,90,1
208,Semantic,Think...Thought,80,0
209,Semantic,Think...Thought,50,1
210,Semantic,Think...Thought,100,1
211,Semantic,Think...Thought,100,1
212,Semantic,Think...Thought,90,0
213,Semantic,Think...Thought,95,1
214,Semantic,Think...Thought,100,1
215,Semantic,Think...Thought,100,1
216,Semantic,Think...Thought,100,1
217,Semantic,Think...Thought,90,1
218,Semantic,Think...Thought,100,0
219,Semantic,Think...Thought,100,0
220,Semantic,Think...Thought,100,1
221,Semantic,Think...Thought,90,1
1,Associative,High...School,90,0
2,Associative,High...School,90,0
3,Associative,High...School,85,1
4,Associative,High...School,50,0
5,Associative,High...School,NA,NA
6,Associative,High...School,45,1
7,Associative,High...School,55,0
8,Associative,High...School,15,1
9,Associative,High...School,85,0
10,Associative,High...School,78,NA
11,Associative,High...School,100,0
12,Associative,High...School,50,0
13,Associative,High...School,70,0
14,Associative,High...School,60,0
15,Associative,High...School,85,0
16,Associative,High...School,25,0
17,Associative,High...School,50,NA
18,Associative,High...School,10,0
19,Associative,High...School,30,1
20,Associative,High...School,80,0
21,Associative,High...School,40,NA
22,Associative,High...School,78,0
23,Associative,High...School,50,0
24,Associative,High...School,75,1
25,Associative,High...School,38,0
26,Associative,High...School,85,0
27,Associative,High...School,60,0
28,Associative,High...School,1,0
29,Associative,High...School,85,1
30,Associative,High...School,95,0
31,Associative,High...School,NA,0
32,Associative,High...School,100,1
33,Associative,High...School,90,1
34,Associative,High...School,100,1
35,Associative,High...School,90,0
36,Associative,High...School,100,1
37,Associative,High...School,99,0
38,Associative,High...School,100,0
39,Associative,High...School,25,1
40,Associative,High...School,80,0
41,Associative,High...School,85,0
42,Associative,High...School,90,0
43,Associative,High...School,67,0
44,Associative,High...School,90,0
45,Associative,High...School,80,0
46,Associative,High...School,60,1
47,Associative,High...School,95,0
48,Associative,High...School,89,0
49,Associative,High...School,80,0
50,Associative,High...School,80,1
51,Associative,High...School,20,0
52,Associative,High...School,80,0
53,Associative,High...School,50,NA
54,Associative,High...School,95,0
55,Associative,High...School,60,1
56,Associative,High...School,20,1
57,Associative,High...School,90,0
58,Associative,High...School,90,0
59,Associative,High...School,85,1
60,Associative,High...School,90,0
61,Associative,High...School,22,1
62,Associative,High...School,80,0
63,Associative,High...School,70,0
64,Associative,High...School,20,1
65,Associative,High...School,80,1
66,Associative,High...School,60,0
67,Associative,High...School,60,1
68,Associative,High...School,90,0
69,Associative,High...School,99,0
70,Associative,High...School,95,1
71,Associative,High...School,90,0
72,Associative,High...School,20,0
73,Associative,High...School,50,1
74,Associative,High...School,15,0
75,Associative,High...School,95,NA
76,Associative,High...School,80,0
77,Associative,High...School,90,0
78,Associative,High...School,5,0
79,Thematic,High...School,10,0
80,Thematic,High...School,30,1
81,Thematic,High...School,70,0
82,Thematic,High...School,35,0
83,Thematic,High...School,45,1
84,Thematic,High...School,50,NA
85,Thematic,High...School,70,0
86,Thematic,High...School,NA,0
87,Thematic,High...School,100,1
88,Thematic,High...School,10,1
89,Thematic,High...School,50,0
90,Thematic,High...School,NA,0
91,Thematic,High...School,50,0
92,Thematic,High...School,89,0
93,Thematic,High...School,99,1
94,Thematic,High...School,25,0
95,Thematic,High...School,20,1
96,Thematic,High...School,70,1
97,Thematic,High...School,10,1
98,Thematic,High...School,70,NA
99,Thematic,High...School,NA,0
100,Thematic,High...School,50,1
101,Thematic,High...School,85,1
102,Thematic,High...School,10,1
103,Thematic,High...School,55,0
104,Thematic,High...School,90,1
105,Thematic,High...School,10,1
106,Thematic,High...School,95,0
107,Thematic,High...School,40,0
108,Thematic,High...School,25,0
109,Thematic,High...School,25,1
110,Thematic,High...School,50,0
111,Thematic,High...School,100,0
112,Thematic,High...School,70,0
113,Thematic,High...School,99,0
114,Thematic,High...School,NA,NA
115,Thematic,High...School,30,1
116,Thematic,High...School,90,0
117,Thematic,High...School,0,1
118,Thematic,High...School,80,1
119,Thematic,High...School,NA,1
120,Thematic,High...School,5,0
121,Thematic,High...School,50,0
122,Thematic,High...School,100,0
123,Thematic,High...School,20,1
124,Thematic,High...School,90,1
125,Thematic,High...School,90,0
126,Thematic,High...School,30,1
127,Thematic,High...School,45,1
128,Thematic,High...School,100,0
129,Thematic,High...School,100,0
130,Thematic,High...School,70,1
131,Thematic,High...School,70,0
132,Thematic,High...School,50,1
133,Thematic,High...School,80,NA
314,Thematic,High...School,65,0
135,Thematic,High...School,70,1
136,Thematic,High...School,75,0
137,Thematic,High...School,80,0
138,Thematic,High...School,20,1
139,Thematic,High...School,45,NA
140,Thematic,High...School,80,NA
141,Thematic,High...School,100,0
142,Thematic,High...School,75,0
143,Thematic,High...School,100,0
144,Thematic,High...School,NA,0
145,Thematic,High...School,40,0
146,Thematic,High...School,0,1
147,Semantic,High...School,45,1
148,Semantic,High...School,60,1
